A,B,C,D,F
7,21,2,4,0
44,24,1,5,1
18,50,1,0,2
11,31,0,11,3
41,34,1,9,2
34,2,2,12,0
60,2,3,10,0
8,0,0,7,0
56,68,0,3,2
8,24,3,6,0
67,49,1,8,3
1,16,0,0,3
54,22,3,5,2
33,63,2,0,0
63,8,3,9,1
16,45,2,4,5
3,59,3,5,4
2,12,3,6,0
56,53,2,9,0
27,37,1,9,0
69,28,0,2,1
33,32,3,4,3
15,66,2,9,3
35,66,1,12,2
62,47,3,12,4
68,31,0,5,4
50,0,2,6,4
2,3,1,4,5
9,9,0,0,2
44,11,3,0,1
52,2,1,8,5
35,34,0,3,2
46,55,0,3,4
11,65,3,5,3
28,12,2,8,1
66,50,2,9,1
28,23,1,11,3
32,55,1,12,1
31,24,1,10,4
64,62,3,10,3
4,40,2,0,5
68,61,2,5,2
63,38,0,2,4
70,37,1,1,1
55,59,3,9,5
53,67,0,8,5
48,26,0,2,1
16,48,2,10,3
8,36,0,4,3
30,49,0,9,2
61,42,1,4,0
51,63,2,7,2
26,17,1,10,0
55,23,0,2,0
3,70,0,0,0
52,54,0,0,2
12,23,2,5,5
38,37,2,2,0
39,37,3,11,3
58,9,2,8,1
0,15,2,5,1
17,58,1,6,0
25,34,1,12,0
7,47,0,2,4
56,23,1,4,0
34,31,0,9,5
19,14,1,9,3
12,6,2,3,3
25,20,3,5,4
0,32,0,4,5
7,56,0,8,2
40,5,2,5,0
53,23,0,1,4
57,70,1,3,4
59,32,0,3,3
1,59,0,6,0
22,27,1,8,0
4,12,1,11,5
54,34,0,0,1
50,4,1,9,2
68,66,1,8,2
3,46,0,7,0
24,2,3,7,3
5,10,0,2,0
23,19,2,3,0
14,4,3,5,5
44,15,3,8,3
20,66,3,5,5
12,48,0,9,3
14,10,1,7,1
52,50,2,2,5
57,53,3,8,2
57,2,2,1,4
20,25,0,12,0
32,33,1,12,0
68,68,2,11,5
45,52,0,2,2
15,16,0,8,0
4,55,1,0,1
23,27,1,1,4
55,15,1,0,0
15,39,2,9,3
12,20,0,7,1
31,30,0,3,0
28,68,2,7,2
64,18,2,3,3
25,18,0,12,4
58,15,1,9,3
16,39,2,11,0
59,24,0,9,5
3,10,1,6,1
25,37,2,2,3
15,4,2,1,4
64,29,2,10,0
48,39,3,7,2
37,61,2,8,2
39,63,0,5,5
68,23,2,10,0
16,17,0,4,1
25,70,0,2,2
66,65,1,2,2
59,3,1,1,5
63,19,3,12,1
48,58,0,10,2
3,55,3,2,0
6,35,1,4,3
44,66,1,11,1
48,29,1,3,1
30,9,1,11,5
49,4,0,7,4
67,15,0,11,3
38,38,3,9,4
43,5,1,1,1
31,21,0,7,4
39,57,0,0,4
8,1,2,9,1
27,68,0,9,3
10,30,1,6,0
39,11,0,7,4
40,1,3,2,3
68,13,0,5,0
21,35,2,4,4
10,47,1,2,4
32,33,2,1,4
21,12,3,12,2
50,64,2,5,0
58,46,1,11,4
37,30,1,5,3
43,13,1,8,0
30,30,2,5,3
25,49,2,4,0
3,30,3,2,5
41,29,0,5,4
32,66,0,8,0
39,30,3,2,3
1,23,3,8,1
35,56,2,10,1
31,12,1,4,2
56,56,3,10,1
13,31,0,11,3
62,68,0,0,2
60,13,0,0,4
1,45,3,6,0
41,36,3,6,2
37,32,3,10,4
32,62,1,11,5
31,5,3,5,4
58,23,1,2,2
46,70,0,5,1
51,44,3,11,5
51,44,1,7,5
52,65,2,0,4
29,40,0,6,5
29,26,1,1,2
70,25,0,4,1
21,27,3,3,1
58,37,3,8,2
25,27,1,9,5
41,65,3,11,2
1,4,3,2,0
29,6,0,5,2
21,24,3,9,3
51,36,3,5,2
6,21,0,10,5
20,48,0,7,5
31,50,2,5,0
52,70,1,11,0
62,17,0,5,3
30,36,3,8,2
60,47,1,6,2
52,17,1,4,5
38,34,2,4,3
22,24,0,10,2
46,27,0,10,5
25,16,0,6,4
64,49,2,10,1
19,40,0,12,4
65,67,0,6,0
22,64,2,11,0
36,64,3,7,5
62,41,3,9,4
29,39,0,6,4
31,33,3,9,4
29,13,2,7,2
35,52,0,11,1
4,2,1,2,3
38,38,2,0,3
2,56,3,12,1
40,9,2,1,0
25,57,1,12,1
26,5,1,6,1
48,11,2,7,5
16,13,3,5,0
65,39,1,1,0
70,14,0,1,0
57,49,0,1,0
27,66,3,6,2
50,58,1,4,3
35,45,2,11,2
58,8,0,12,3
47,52,3,10,0
68,27,2,10,1
6,5,0,12,3
38,22,3,8,0
29,54,0,0,4
61,62,2,3,3
59,57,3,3,5
26,12,0,12,3
29,25,1,9,4
57,19,3,11,0
8,50,3,2,3
30,31,3,12,5
68,17,1,3,5
37,6,2,2,0
51,44,2,12,3
5,47,3,3,1
65,17,0,12,5
68,43,0,12,3
47,67,1,10,4
24,64,1,12,0
23,40,0,8,1
5,5,3,11,1
12,48,0,3,3
28,16,3,10,3
19,61,0,4,1
18,49,0,12,2
21,26,2,10,3
46,62,1,9,1
36,13,0,8,4
42,43,0,4,3
16,60,2,2,4
31,56,2,8,4
57,7,0,2,0
52,2,1,7,0
25,47,2,5,0
28,6,1,3,1
9,30,2,0,3
27,7,3,2,0
26,5,1,7,3
25,65,1,9,5
29,20,1,8,0
35,46,3,10,2
18,42,3,4,1
48,18,3,1,0
39,8,2,8,3
21,30,2,10,4
33,5,1,9,3
59,20,0,6,3
1,7,3,1,1
4,6,1,7,4
31,49,0,9,5
12,50,1,5,3
41,21,2,3,2
45,26,0,9,2
0,62,3,9,1
50,49,3,9,4
59,30,0,8,0
28,68,0,6,1
11,26,1,3,3
16,24,0,7,2
25,69,3,9,2
45,26,2,11,3
15,22,1,11,1
18,58,2,12,0
65,43,3,10,3
9,62,0,1,5
45,53,3,10,5
27,16,3,2,1
44,28,2,5,3
2,6,1,4,4
7,57,0,2,2
34,49,1,3,1
54,33,3,12,1
13,44,2,5,4
39,33,1,0,0
70,38,1,10,0
20,70,1,4,3
5,26,1,9,1
10,44,0,11,2
0,56,1,1,1
58,58,3,7,0
21,26,0,6,5
30,27,3,7,5
22,26,0,6,1
9,62,3,1,0
59,9,0,4,3
10,18,3,1,1
34,64,0,6,3
38,8,3,7,1
28,57,3,12,1
1,63,0,5,0
7,53,2,11,0
45,16,1,3,5
44,46,3,1,0
56,13,1,11,5
68,19,2,8,2
70,35,0,8,3
62,21,1,11,2
7,51,1,2,1
59,60,0,10,4
22,22,1,12,5
49,4,1,1,0
60,58,3,8,5
49,8,0,12,5
28,1,1,9,4
60,52,3,8,0
50,5,3,9,1
25,1,1,10,3
40,23,2,1,2
17,3,0,0,3
14,37,2,3,5
11,29,3,8,5
6,21,1,7,3
34,37,2,3,4
44,41,3,4,5
12,22,0,11,5
15,70,1,3,0
52,24,2,3,3
27,12,1,10,2
19,36,0,2,5
63,33,2,12,5
38,21,3,1,4
15,62,3,0,0
18,49,1,5,5
54,67,2,11,0
49,38,0,7,0
36,14,0,4,2
11,46,3,7,2
48,18,0,0,0
49,55,0,7,5
15,11,1,5,3
29,55,1,3,4
30,14,3,9,0
53,21,2,8,4
27,19,3,4,5
49,0,0,10,1
10,2,0,11,5
60,64,3,8,0
31,17,3,4,0
7,33,1,4,2
52,49,3,4,5
37,3,1,10,3
67,46,3,4,3
16,51,2,2,3
10,68,1,12,1
48,34,3,2,0
48,61,3,10,3
6,22,0,10,2
27,4,0,3,0
53,30,3,7,0
32,23,1,9,3
14,56,2,3,3
15,22,0,2,0
45,67,0,8,4
62,38,2,10,4
16,49,3,12,0
10,26,3,12,3
4,8,2,5,5
43,26,1,0,1
6,60,0,10,4
8,12,2,5,1
1,23,3,8,5
0,39,2,12,1
8,48,2,2,3
51,29,0,10,0
32,69,0,9,4
36,0,0,2,0
3,68,3,0,2
25,27,0,3,3
30,60,2,9,2
24,4,1,8,4
67,59,2,1,4
11,11,2,4,2
31,4,0,2,2
58,12,3,8,4
22,4,3,6,3
68,35,2,1,2
23,17,3,6,5
54,65,3,8,2
66,13,0,6,3
11,38,2,6,5
11,60,2,10,1
68,57,1,0,4
47,45,0,3,5
69,70,2,7,5
58,8,0,1,4
54,48,3,7,3
52,26,2,3,0
31,54,1,5,4
24,6,1,0,5
13,15,3,9,2
58,24,0,7,1
39,47,3,3,0
27,38,0,5,1
9,35,1,7,0
1,1,2,2,2
57,59,3,6,1
47,44,0,0,5
36,29,2,6,4
38,34,3,8,5
31,39,2,3,1
4,29,3,3,5
41,52,0,2,4
14,41,1,8,0
64,13,3,5,2
62,3,2,11,2
57,12,3,12,1
27,47,1,2,3
35,39,2,11,3
1,26,1,6,1
27,46,2,2,3
61,40,3,0,0
44,62,1,10,1
41,0,1,4,2
4,54,1,0,3
7,62,2,5,5
68,32,0,4,2
48,5,1,3,1
23,49,3,11,0
60,10,2,1,4
11,50,2,11,3
70,24,1,12,1
3,20,1,3,5
29,5,2,1,5
32,3,0,7,5
10,70,1,11,5
32,35,2,12,2
23,46,1,6,1
22,51,2,3,1
38,30,3,3,0
57,1,2,1,0
34,40,1,10,3
58,57,2,1,1
15,13,3,0,4
39,12,2,3,3
37,16,0,8,0
45,31,0,8,5
47,13,3,9,4
67,68,2,0,4
39,46,1,8,2
29,24,2,6,2
20,52,3,7,1
26,2,3,0,2
1,17,1,9,1
62,28,0,0,4
57,37,3,0,3
58,20,2,10,1
69,50,1,4,2
7,8,3,11,5
17,32,1,7,2
3,61,2,8,4
9,61,2,8,3
21,57,3,9,1
69,25,1,11,4
61,17,1,0,0
10,68,3,9,4
60,37,0,12,5
17,32,3,9,3
47,11,0,1,4
18,11,0,12,2
5,35,2,1,2
69,22,1,10,3
37,8,2,3,3
36,44,3,9,0
18,41,3,7,4
17,66,0,0,0
65,7,2,11,0
65,33,2,2,1
28,12,3,8,5
62,58,2,6,5
40,32,1,11,3
32,1,3,6,3
57,10,0,0,3
25,69,1,2,0
37,9,0,3,3
12,40,2,12,3
8,56,0,10,1
29,52,1,7,1
48,17,0,2,1
64,35,1,7,1
13,6,1,3,5
13,60,3,4,3
63,30,0,7,4
48,60,2,10,4
41,47,3,8,2
60,60,1,12,5
63,52,0,12,0
36,29,2,9,3
58,49,0,10,5
9,33,3,4,0
9,35,2,12,3
44,35,2,1,0
2,11,3,8,3
4,46,3,3,5
33,42,0,7,2
47,52,3,8,0
34,23,0,3,5
14,63,3,5,2
23,43,2,3,0
28,33,0,5,3
69,26,0,3,3
32,50,1,4,5
56,22,2,4,3
35,54,2,2,5
43,70,3,2,5
35,48,3,12,4
56,26,1,8,1
58,39,1,0,0
44,13,0,8,2
43,16,2,1,0
24,60,2,2,4
8,65,0,1,2
25,12,2,12,5
24,28,2,6,2
48,66,1,7,0
38,11,1,8,3
47,63,2,10,0
64,66,3,10,4
45,5,1,1,0
18,5,2,5,3
44,41,1,10,0
58,32,2,7,1
23,37,3,1,1
50,60,3,1,2
42,18,0,0,4
33,4,1,9,0
27,24,0,10,2
37,0,0,6,1
17,50,0,8,2
56,31,2,6,0
58,22,3,9,5
20,51,2,9,4
15,25,2,2,3
24,35,0,9,0
24,10,2,10,0
53,22,2,7,4
46,37,2,5,3
22,11,1,5,2
46,30,3,3,0
54,23,2,2,0
66,16,1,4,0
42,62,0,10,3
57,36,1,3,2
66,61,3,9,1
24,56,1,6,5
44,50,3,11,3
26,42,0,10,3
63,59,1,11,5
48,8,3,8,5
7,55,1,12,1
42,35,3,11,2
47,54,3,9,4
39,51,0,5,0
44,33,3,0,4
23,41,2,6,0
22,26,2,6,5
58,59,2,8,5
49,67,1,0,5
55,68,3,4,5
49,22,2,10,5
65,27,1,8,3
15,57,0,4,4
27,14,0,3,3
30,37,3,12,1
14,38,3,7,2
3,58,2,8,2
12,16,2,10,2
59,41,0,4,1
48,66,1,10,1
0,2,0,10,3
46,52,3,6,4
68,63,0,6,4
8,30,3,9,1
66,15,1,8,1
19,42,1,8,0
46,15,3,5,2
25,6,0,9,4
59,3,1,5,1
53,53,2,9,3
1,55,0,6,1
15,50,0,2,2
3,5,2,10,1
19,20,3,1,0
36,14,0,10,0
17,13,2,0,0
70,44,3,7,1
57,33,1,11,4
20,42,1,2,2
3,15,1,0,2
57,43,1,1,5
23,14,1,7,1
15,69,0,4,5
2,8,2,1,1
23,43,1,6,4
11,59,0,3,1
16,64,3,10,2
47,43,3,0,4
52,56,1,3,0
45,27,1,7,2
58,67,1,7,1
19,15,1,9,4
22,57,0,9,2
23,53,0,9,1
10,27,2,7,0
33,64,0,3,4
41,63,2,7,1
32,29,1,2,4
61,8,3,6,2
17,50,2,4,2
5,68,0,3,5
64,68,3,6,5
37,3,3,2,1
34,63,0,0,4
62,28,1,9,1
41,57,0,1,2
39,36,1,2,5
48,43,3,6,4
10,27,3,4,4
61,43,0,2,2
27,39,2,11,4
67,6,2,3,2
70,22,1,11,5
54,65,1,6,0
47,27,2,3,4
7,19,2,9,0
19,15,2,5,1
61,5,3,2,2
27,41,3,2,1
62,28,1,8,2
37,10,2,5,0
44,2,2,4,3
46,22,3,7,5
16,14,0,10,5
14,40,1,1,0
22,4,2,11,3
70,5,2,8,3
9,10,0,6,1
8,28,0,1,2
56,66,3,10,1
30,7,0,9,3
39,68,3,3,2
7,43,3,1,0
17,20,0,6,2
17,48,1,7,3
8,30,2,9,4
52,57,1,8,2
37,62,0,5,0
70,42,2,9,0
10,64,3,0,4
59,15,1,11,4
41,65,0,8,4
48,52,1,10,2
69,35,0,6,1
66,47,1,10,3
23,44,1,1,3
60,54,2,0,0
41,55,2,2,5
60,11,0,9,1
0,61,3,4,1
60,3,0,5,5
30,16,0,4,3
55,1,0,6,3
49,2,2,10,2
42,44,2,5,0
7,64,3,1,2
3,26,0,10,2
57,33,1,10,1
34,42,0,10,2
6,27,3,7,3
29,33,2,3,3
41,26,0,8,2
68,46,3,1,0
53,7,3,3,5
7,9,3,10,5
10,16,1,3,1
43,67,0,2,4
39,32,3,7,2
5,53,2,1,4
60,45,1,7,0
47,66,1,5,2
51,56,1,3,3
62,19,3,7,4
30,26,2,6,3
50,54,2,11,5
26,61,2,4,4
19,33,0,2,2
54,10,2,5,1
22,58,2,8,1
56,43,2,1,4
42,38,0,4,5
29,66,1,1,0
46,13,2,8,0
62,68,2,7,2
12,33,3,4,4
57,27,1,12,0
60,17,0,1,4
32,31,3,9,3
57,29,1,9,1
65,46,3,3,0
39,34,2,3,1
3,36,2,12,2
63,0,1,7,5
39,9,1,8,3
48,25,3,4,3
35,13,3,7,5
5,50,3,6,3
38,35,0,0,5
43,43,1,10,0
17,60,0,7,3
61,33,1,0,0
58,64,0,6,5
49,59,3,7,2
12,51,0,7,5
26,30,2,0,4
39,41,1,0,5
23,67,2,8,0
15,28,3,6,4
16,34,3,5,0
53,29,1,7,3
36,47,3,3,5
52,28,1,0,3
7,63,1,10,0
64,17,3,7,3
31,65,3,0,5
16,67,0,8,2
34,32,1,4,5
70,10,0,9,4
39,23,0,0,3
45,21,2,5,3
62,47,3,1,0
63,66,0,1,5
16,13,0,3,2
63,43,2,0,1
21,17,2,6,5
70,19,0,11,3
22,52,3,6,4
23,50,3,3,0
40,69,3,2,3
38,14,3,2,0
10,10,0,0,0
59,4,2,7,3
41,24,3,9,0
14,30,3,10,5
42,38,3,1,3
36,25,2,6,5
22,59,3,9,4
45,54,0,4,2
55,67,1,1,0
68,62,3,11,3
55,16,0,2,2
0,27,0,7,0
67,60,3,12,1
37,22,1,11,1
51,32,1,4,0
46,46,1,8,4
22,12,3,10,4
31,0,1,12,4
39,8,0,3,4
5,44,1,5,3
5,55,3,7,0
47,10,0,12,4
1,55,3,9,5
13,23,0,6,4
16,3,0,10,0
40,43,3,6,4
59,24,3,7,0
26,13,3,12,3
54,43,1,5,0
8,20,3,9,5
7,62,2,0,0
18,67,1,12,0
50,70,3,4,2
21,69,2,4,0
22,43,2,5,1
47,54,2,8,3
5,24,3,5,5
62,47,2,12,0
45,13,2,5,1
40,38,2,3,4
26,20,3,1,0
50,14,0,8,3
32,4,3,3,5
48,63,2,0,5
27,41,0,12,1
31,19,3,0,3
17,0,3,10,5
29,22,1,8,2
55,2,3,9,0
30,66,0,3,4
61,7,1,1,5
63,19,1,8,2
54,20,3,2,0
27,30,3,9,1
15,32,2,9,2
17,8,0,5,3
46,20,2,0,0
68,69,1,12,0
0,65,2,6,4
37,18,0,4,5
57,25,3,7,1
70,49,0,1,3
11,57,3,9,4
6,35,2,3,5
28,57,1,5,1
1,64,0,4,3
36,61,1,11,5
41,41,2,10,5
10,10,3,7,2
57,38,3,12,5
60,14,1,10,0
34,10,0,3,0
46,11,1,2,0
51,52,2,5,1
31,1,1,10,4
26,54,1,4,2
67,25,3,4,4
26,10,0,5,0
70,1,2,8,2
0,58,3,7,2
50,64,1,11,1
48,45,0,9,3
5,10,2,12,0
52,69,2,12,5
52,4,2,9,0
50,26,1,10,4
54,35,2,8,2
12,42,3,1,4
48,61,0,1,2
61,51,1,2,1
62,26,3,5,1
22,70,1,7,4
0,3,3,11,0
30,21,3,1,2
28,66,2,2,1
40,46,2,5,3
36,60,3,5,4
39,9,3,3,5
62,15,1,9,0
17,41,2,0,2
47,33,1,12,3
14,36,3,2,0
35,51,0,5,4
38,43,0,7,1
63,60,0,3,5
38,67,1,1,0
40,22,0,0,0
14,26,0,0,5
5,34,0,6,5
70,19,1,4,4
54,20,0,3,1
9,63,1,0,4
4,20,2,7,2
51,70,3,3,3
34,67,2,7,0
5,9,3,2,4
40,39,2,0,5
5,21,3,5,4
5,56,2,8,5
50,43,3,7,1
52,19,0,12,4
36,64,1,3,4
30,5,3,6,0
43,12,0,2,3
58,4,0,6,5
52,66,1,12,2
10,50,0,5,3
13,38,3,4,4
33,18,2,9,5
9,30,2,6,3
14,43,3,7,5
29,16,0,8,5
53,69,0,7,1
19,68,1,2,0
46,12,3,0,3
15,46,2,0,5
21,14,1,12,2
50,31,1,5,1
8,12,2,7,2
55,28,1,7,3
0,24,0,1,1
5,43,3,0,4
9,49,1,6,1
22,46,0,2,0
63,40,2,8,4
49,49,2,11,5
38,35,1,7,4
15,37,0,6,4
27,24,1,12,3
70,43,2,5,4
8,22,0,9,4
15,7,1,12,3
38,42,3,3,5
2,43,0,11,1
54,36,0,8,4
4,45,1,4,2
17,35,2,12,2
65,24,0,4,3
8,0,2,5,0
20,35,0,10,2
1,29,1,7,5
57,61,1,8,2
47,40,2,1,5
41,3,1,12,5
26,19,2,0,4
60,20,3,8,0
8,52,2,0,4
62,56,1,10,4
40,60,0,0,4
47,8,1,10,0
19,68,3,1,3
56,20,3,6,3
63,14,2,9,0
51,57,0,10,5
22,11,0,10,1
24,32,2,3,3
49,0,1,5,4
55,51,2,11,0
30,29,2,5,1
8,54,3,3,4
22,8,3,11,4
25,26,3,11,2
69,28,2,3,0
3,24,3,5,0
57,44,2,2,5
21,25,1,8,3
30,60,2,7,4
15,58,0,5,3
38,64,2,12,2
40,37,3,6,1
47,0,0,3,3
22,25,0,3,2
55,14,3,11,1
59,19,0,9,3
43,65,3,6,3
42,6,2,0,0
24,59,2,8,4
24,26,2,9,0
65,8,3,7,4
45,19,1,3,4
6,5,2,4,0
13,62,0,11,3
60,47,1,6,0
69,58,0,9,2
4,8,2,10,5
33,58,0,7,5
51,41,2,8,3
1,58,2,2,4
14,37,2,1,3
26,49,1,2,2
42,48,2,3,3
23,20,3,5,2
66,41,2,10,2
52,34,2,0,0
12,59,3,0,1
50,8,3,1,4
62,28,2,11,4
46,26,1,5,5
33,14,0,6,2
27,52,2,9,3
67,53,0,2,4
41,19,0,6,0
66,14,1,9,0
62,14,0,7,4
14,35,0,3,3
5,40,0,7,0
32,49,3,3,4
15,30,1,11,5
13,53,2,8,2
0,47,0,6,4
1,31,3,5,5
42,42,2,6,4
37,19,0,10,2
14,29,2,0,4
63,32,0,12,4
66,24,1,12,2
64,41,1,12,3
7,14,1,5,4
16,61,0,3,4
6,16,0,11,0
5,22,0,3,3
45,14,1,8,3
44,0,0,3,3
33,56,0,4,5
1,66,3,5,0
9,59,1,5,2
48,39,3,5,3
35,6,2,6,3
49,50,1,10,1
12,49,1,5,3
68,24,2,10,3
21,10,0,3,3
13,58,1,8,0
10,32,2,10,0
62,57,3,10,0
56,24,2,0,0
52,39,3,5,3
56,22,2,1,1
66,15,0,7,5
9,0,0,7,2
48,57,1,4,0
23,19,2,6,1
62,70,3,1,5
10,52,3,5,1
11,2,0,6,0
70,15,3,4,2
41,46,2,0,0
44,5,0,6,0
3,55,3,0,4
43,18,2,4,0
41,35,0,8,2
24,3,0,10,2
67,46,2,4,3
40,55,1,9,3
41,59,3,1,3
62,59,0,7,4
21,35,0,9,4
44,59,1,9,2
18,68,0,10,5
54,36,3,8,4
61,67,1,1,2
18,13,0,6,0
35,12,0,3,3
60,70,0,3,0
70,2,1,6,2
32,37,0,6,1
40,39,0,3,2
30,19,0,2,3
47,42,1,11,0
66,59,0,10,1
28,50,3,9,1
44,49,3,9,1
33,8,3,0,2
57,67,1,10,2
19,13,2,7,4
33,0,3,12,2
15,64,3,1,2
7,54,1,10,3
22,66,2,5,3
0,1,0,7,4
28,19,0,11,0
1,69,1,1,3
47,45,1,4,0
9,67,3,3,1
50,34,0,9,2
12,27,3,6,3
1,11,2,11,5
51,24,1,10,1
40,48,3,10,3
35,56,0,12,0
17,27,3,10,2
16,19,0,9,1
9,53,1,1,3
68,60,2,12,4
43,20,0,11,1
35,14,2,0,0
63,11,0,11,4
55,2,3,9,0
50,13,2,7,5
26,40,3,1,1
43,61,3,3,2
6,3,3,12,3
23,21,3,6,5
10,61,2,0,4
61,34,1,12,3
2,9,2,8,1
20,52,2,10,3
64,59,0,8,4
0,67,0,5,3
69,21,0,11,5
64,42,0,4,1
6,70,0,4,0
54,3,3,2,1
42,55,2,11,0
56,19,2,12,1
8,51,1,5,5
19,62,1,7,3
66,64,2,0,0
60,7,1,5,2
61,21,1,3,5
4,62,0,0,2
56,1,3,6,5
10,42,0,6,3
36,15,2,7,5
0,69,1,12,4
39,5,0,11,2
66,24,3,2,3
26,70,0,12,0
57,40,0,9,2
60,51,0,11,5
43,44,0,4,2
38,62,3,10,5
70,21,0,5,4
40,51,2,11,2
0,57,0,7,4
39,63,0,1,0
18,8,1,12,1
53,1,0,12,3
39,18,0,8,0
12,27,3,3,4
55,31,3,9,5
23,19,1,6,2
13,58,0,12,3
22,52,3,5,4
3,19,0,12,5
13,8,1,1,0
67,1,1,2,3
18,17,2,12,1
36,64,0,7,0
42,64,1,8,0
54,27,3,2,4
36,55,3,5,4
36,30,2,2,2
52,49,2,3,3
15,34,0,12,0
7,45,0,5,3
35,48,2,5,1
10,27,0,10,1
7,18,3,9,4
34,30,2,10,0
4,16,1,8,0
54,15,0,1,3
14,68,0,8,2
34,63,1,6,0
4,28,3,9,5
39,25,1,10,4
33,51,1,7,5
43,6,3,12,1
34,8,0,0,2
13,8,0,3,3
42,54,2,7,2
21,37,1,11,0
20,11,3,0,4
9,13,0,8,1
61,59,0,1,3
65,62,2,10,0
7,67,2,8,3
32,15,1,6,2
0,19,3,9,4
37,22,2,0,5
7,1,2,4,1
35,62,1,7,2
19,59,2,6,3
67,25,3,2,1
60,64,1,4,4
24,44,2,0,1
47,51,0,9,0
43,55,3,3,4
4,16,1,6,2
66,69,0,8,2
20,14,0,9,4
69,41,1,7,3
67,62,3,4,1
17,53,0,0,1
7,43,2,12,2
32,58,0,12,3
47,17,1,1,5
70,34,2,11,4
55,67,1,2,0
24,18,2,5,2
42,8,3,4,5
12,15,0,8,2
38,8,0,4,3
4,21,0,5,3
44,12,1,1,0
20,26,1,5,5
5,0,1,12,2
13,54,1,11,2
9,10,2,7,1
36,26,1,7,0
28,0,2,0,1
57,57,2,0,4
64,55,1,4,5
52,52,1,8,2
23,8,1,12,1
48,50,3,5,4
6,31,3,1,3
17,50,0,10,5
58,8,1,11,0
26,54,2,10,3
2,49,1,0,0
18,61,2,0,2
59,21,2,4,4
0,13,1,6,1
55,10,3,6,0
46,60,2,11,3
64,21,2,0,5
20,61,1,2,4
28,23,3,5,2
7,42,2,3,3
37,31,1,11,1
44,68,3,4,4
31,23,2,9,2
10,54,0,1,5
12,40,3,7,3
52,54,0,8,0
42,7,3,4,4
37,38,2,8,0
31,25,2,6,2
51,21,1,11,4
45,64,0,10,4
41,30,0,8,5
33,56,3,11,1
68,53,0,3,3
20,0,2,5,5
18,56,2,12,2
67,18,3,5,1
8,5,0,2,1
58,3,1,2,0
48,29,2,5,2
59,33,2,11,0
16,24,2,12,2
67,26,2,11,4
32,61,3,7,3
37,39,1,10,4
66,16,2,8,5
53,1,1,10,5
52,66,2,11,3
52,31,2,7,5
60,28,3,3,2
12,62,1,3,0
16,12,0,0,3
28,55,2,7,3
34,18,2,5,5
0,16,2,8,3
9,40,0,2,4
29,26,1,4,3
47,20,1,0,3
44,55,1,3,3
3,3,0,8,2
8,24,3,10,3
45,15,0,5,5
55,53,3,8,1
16,58,2,4,2
9,68,0,7,1
20,8,0,7,1
25,7,1,11,3
22,11,3,11,5
7,61,1,7,3
34,31,0,1,2
68,4,3,11,2
42,28,2,11,4
35,27,0,6,1
13,44,1,10,1
28,20,3,0,2
19,7,3,7,4
38,43,1,12,1
38,13,0,7,1
18,51,0,3,4
30,53,0,4,1
37,24,1,8,0
70,55,3,2,0
66,17,3,10,3
17,31,2,3,4
8,32,2,2,5
61,68,0,5,4
47,55,1,6,2
1,62,1,2,3
35,24,3,7,0
60,41,0,8,5
38,11,0,6,2
57,16,2,2,0
32,41,1,4,1
49,32,1,5,0
69,39,0,11,0
10,39,2,7,4
1,1,0,3,1
44,62,3,0,2
66,61,0,4,4
23,2,2,4,3
36,68,2,0,2
8,43,0,12,3
22,57,0,0,2
28,61,0,3,1
13,50,0,12,5
22,56,0,5,1
51,42,3,1,0
40,67,3,9,0
4,7,0,4,5
25,34,2,1,5
69,61,2,7,2
15,15,1,6,1
49,36,2,8,5
54,60,2,10,1
61,33,3,0,4
69,21,0,5,4
18,62,3,4,3
65,27,3,8,0
68,0,1,3,3
8,6,0,9,3
23,29,2,0,1
25,30,1,3,0
3,65,1,5,1
21,8,0,10,5
18,28,1,3,5
50,1,1,8,1
30,68,3,9,3
18,4,1,10,2
25,37,2,3,0
20,43,2,9,3
68,66,1,8,0
22,35,0,7,1
19,25,0,9,4
25,3,2,1,4
54,35,0,3,2
31,18,1,3,2
21,16,0,10,4
61,21,2,0,1
28,61,3,3,2
26,41,1,12,0
67,54,3,11,1
30,49,3,3,2
13,18,2,0,0
66,8,3,4,3
30,59,0,6,5
37,11,3,9,1
9,4,3,6,5
18,39,1,4,0
22,24,1,3,2
46,48,0,3,2
64,2,1,8,3
56,29,3,8,5
68,2,0,7,4
22,56,2,8,3
51,39,2,8,5
35,32,0,12,4
43,16,3,10,0
17,29,3,3,3
54,66,1,2,3
13,36,0,5,0
51,18,2,7,0
50,11,0,7,5
45,69,3,3,4
33,53,2,5,4
38,65,1,6,4
25,29,0,7,4
37,13,3,9,0
29,1,3,5,4
13,27,3,5,1
18,47,1,3,0
51,58,3,10,2
60,39,0,11,0
28,20,2,11,5
31,23,3,5,5
6,54,3,2,5
9,18,2,1,2
31,13,0,6,4
19,8,2,5,0
56,55,1,7,5
8,68,1,11,2
68,18,3,10,5
37,12,1,0,2
6,37,1,7,0
26,12,3,12,2
17,2,3,6,4
42,31,3,7,4
17,32,1,0,3
47,68,2,6,5
35,53,0,5,4
39,43,3,11,1
53,37,2,4,3
25,10,0,0,0
8,54,0,10,1
30,37,1,3,5
39,45,3,0,3
46,45,0,2,4
41,32,0,4,3
11,0,2,2,0
6,21,3,10,0
36,46,0,6,5
46,28,0,4,3
47,8,0,4,0
55,48,1,2,2
6,48,1,0,1
33,13,1,5,2
15,39,3,11,5
44,32,1,1,3
27,48,1,8,4
36,49,2,0,3
29,69,1,2,0
